KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
BulldozerAttachment,Bulldozer Blade,,,,"Hoja de Bulldozer",,,,,,,,,,,,
bkiBulldozer,"A reinforced combat steel Bulldozer Blade traditionally used for landscaping and demolition, can demolish trees, surface rocks and function as a passable shield to incoming fire.\n[c][00FF00]+50% Blast Resistance[-][/c]\n[c][FF0000]Cannot Damage Structures[-][/c]",,,,"Hoja de Bulldozer de acero reforzado, usada para paisajismo y demolición. Puede destruir árboles, rocas superficiales y actuar como escudo contra fuego entrante.\n[c][00FF00]+50% Resistencia a Explosiones[-][/c]\n[c][FF0000]No puede dañar estructuras[-][/c]",,,,,,,,,,,,
BulldozerAttachmentWeapon,Bulldozer,,,,"Bulldozer",,,,,,,,,,,,
AdvancedDecoDeviceBlocks,Advanced Technical Blocks,,,,"Bloques Técnicos Avanzados",,,,,,,,,,,,
bkiAdvancedDeco,Decorative devices with a degree of durability that can be used internally or externally for aesthetics.\n[c][FF0000]Overuse will affect performance[-][/c],,,,"Dispositivos decorativos con cierta durabilidad para uso interno o externo.\n[c][FF0000]El uso excesivo afecta el rendimiento[-][/c]",,,,,,,,,,,,
bkiTurbineBlocks,Decorative turbine that can be used as ventilation covers. Can be turned off and on with signal logic.\nDoes not inflict damage if stepped on... yet.\nEmits sound when turned on.,,,,"Turbina decorativa usada como cubierta de ventilación. Puede activarse/desactivarse con señal lógica.\nNo causa daño al pisarla... aún.\nEmite sonido al encenderse.",,,,,,,,,,,,
DecoTurbine2x2,Turbine Rotor (Small),,,,"Rotor de Turbina (Pequeño)",,,,,,,,,,,,
DecoTurbine3x3,Turbine Rotor (Medium),,,,"Rotor de Turbina (Mediano)",,,,,,,,,,,,
DecoTurbine5x5,Turbine Rotor (Large),,,,"Rotor de Turbina (Grande)",,,,,,,,,,,,
DecoWindTurbine,Colonist Wind Turbine,,,,"Turbina Eólica Colonista",,,,,,,,,,,,
POITrapBlocks,Specialized POI Blocks,,,,"Bloques POI Especializados",,,,,,,,,,,,
bkiTrapBlocks,"Block Group for POIs that damage, explode or otherwise do nasty things when poked, prodded or inhaled.\n\n[c][FF0000]For POI use ONLY[-][/c]",,,,"Grupo de bloques para POIs que dañan, explotan o hacen cosas desagradables al ser activados.\n\n[c][FF0000]Solo para uso en POIs[-][/c]",,,,,,,,,,,,
Eden_LaserFence1x1,[c][FF0000]Laser Fence[-][/c],,,,"[c][FF0000]Cerca Láser[-][/c]",,,,,,,,,,,,
Eden_LaserFence3x1,[c][FF0000]Large Laser Fence[-][/c],,,,"[c][FF0000]Cerca Láser Grande[-][/c]",,,,,,,,,,,,
Eden_LaserFence3x1Half,[c][FF0000]Large Laser Fence (Half Height)[-][/c],,,,"[c][FF0000]Cerca Láser Grande (Media Altura)[-][/c]",,,,,,,,,,,,
Eden_PoisonGasCloud,[c][00FFAA]Toxic Gas Cloud[-][/c],,,,"[c][00FFAA]Nube de Gas Tóxico[-][/c]",,,,,,,,,,,,
Eden_FrozenGasCloud,[c][00FFFF]Cryogenic Gas Cloud[-][/c],,,,"[c][00FFFF]Nube de Gas Criogénico[-][/c]",,,,,,,,,,,,
Eden_ElectricFloor,[c][00FFFF]Electrified Surface[-][/c],,,,"[c][00FFFF]Superficie Electrificada[-][/c]",,,,,,,,,,,,
Eden_LaserFenceinfo,Laser fences inflict instant death on contact with a player or NPC.\nCannot be turned off.,,,,"Las cercas láser matan instantáneamente al contacto con jugadores o NPC.\nNo se pueden apagar.",,,,,,,,,,,,
Eden_GasPoisoninfo,Toxic Gas inflicts 50 damage per second that a player or NPC is in contact with it.,,,,"El gas tóxico inflige 50 de daño por segundo mientras el jugador o NPC esté en contacto.",,,,,,,,,,,,
ExplosiveBarrelFuel,[c][FFDD00]Fuel Drum[-][/c][c][FF0000] ( Combustible )[-][/c],,,,"[c][FFDD00]Tambor de Combustible[-][/c][c][FF0000] ( Inflamable )[-][/c]",,,,,,,,,,,,
ExplosiveBarrelCoolant,[c][0088FF]Coolant Drum[-][/c][c][FF0000] ( Volatile )[-][/c],,,,"[c][0088FF]Tambor de Refrigerante[-][/c][c][FF0000] ( Volátil )[-][/c]",,,,,,,,,,,,
bkiExplosiveBarrel,"Combustible Fuel Drum. Will explode if shot, dealing damage to all surrounding enemies.\nCan be detonated via signal.",,,,"Tambor de combustible inflamable. Explota si se dispara, dañando a todos los enemigos cercanos.\nPuede detonarse con señal.",,,,,,,,,,,,
CableBlock3x1,Electrical Cables,,,,"Cables Eléctricos",,,,,,,,,,,,
CableBlock5x1,Long Electrical Cables,,,,"Cables Eléctricos Largos",,,,,,,,,,,,
Eden_ConsoleWallBlue1x1Double,Inset Wall Console (Blue 1x1 Double),,,,"Consola Incrustada en Pared (Azul 1x1 Doble)",,,,,,,,,,,,
Eden_ConsoleWallBlue1x1Quad,Inset Wall Console (Blue 1x1 Quad),,,,"Consola Incrustada en Pared (Azul 1x1 Cuádruple)",,,,,,,,,,,,
ShieldRobot,Siege Guard,,,,"Guardia de Asedio",,,,,,,,,,,,
ZiraxFlamethrower,Zirax Plasmatrooper,,,,"Plasmatrooper Zirax",,,,,,,,,,,,
ZiraxSentinelFlamethrower,Zirax Plasmatrooper,,,,"Plasmatrooper Zirax",,,,,,,,,,,,
HoverMechanic,Hover Mechanic,,,,"Mecánico Hover",,,,,,,,,,,,
TalonFarmer,Farmer,,,,"Agricultor",,,,,,,,,,,,
TalonBeekeeper,Beekeeper,,,,"Apicultor",,,,,,,,,,,,
TalonRancher,Rancher,,,,"Ganadero",,,,,,,,,,,,
WeaponModDealer01,Aftermarket Arms,,,,"Armas de Posventa",,,,,,,,,,,,
WeaponModDealer02,Auxiliary Augments,,,,"Mejoras Auxiliares",,,,,,,,,,,,
RepairBayCVT3,Repair Platform,,,,"Plataforma de Reparación",,,,,,,,,,,,
bkiRepairBayT3,A mobile repair pad designed for the repair and maintenance of spacecrafts including both Small Vessels and Capital Vessels. Requires a Repair Console.\n[c][FF0000]Orientation cannot be changed[-][/c],,,,"Una plataforma de reparación móvil diseñada para la reparación y mantenimiento de naves espaciales, incluyendo tanto naves pequeñas como capitales. Requiere una Consola de Reparación.\n[c][FF0000]La orientación no puede ser cambiada[-][/c]",,,,,,,,,,,,
ShieldDamagePenFac,[c][FF6600]Shield Penetration (Impact)[-][/c],,,,"[c][FF6600]Penetración de Escudo (Impacto)[-][/c]",,,,,,,,,,,,
BlastShieldDamagePenFac,[c][FF6600]Shield Penetration (Blast)[-][/c],,,,"[c][FF6600]Penetración de Escudo (Explosión)[-][/c]",,,,,,,,,,,,
Eden_ShotgunGauss,[c][FF00FF]Gauss Shotgun[-][/c],,,,"[c][FF00FF]Escopeta Gauss[-][/c]",,,,,,,,,,,,
Eden_ShotgunGaussinfo,A semi-automatic shotgun that uses magnetized coils to rapidly accelerate projectiles allowing for a greater effective range compared to other shotguns at the expense of damage and ammo capacity.\n[c][00FF00]+20% Damage vs Armored Wildlife[-][/c],,,,"Una escopeta semiautomática que utiliza bobinas magnetizadas para acelerar proyectiles rápidamente, permitiendo un mayor alcance efectivo comparado con otras escopetas a costa del daño y la capacidad de munición.\n[c][00FF00]+20% Daño vs Fauna Blindada[-][/c]",,,,,,,,,,,,
Eden_ScoutRifle,[c][FF00FF]MAK-223 Light Scout Rifle[-][/c],,,,"[c][FF00FF]Rifle Ligero de Exploración MAK-223[-][/c]",,,,,,,,,,,,
Eden_ScoutRifleinfo,A scoped combat rifle commonly used by mobile infantry for its ability to function proficiently at both long and short ranges.\n[c][00FF00]+20% Damage vs Armored Humanoids[-][/c],,,,"Un rifle de combate con mira, comúnmente usado por la infantería móvil por su capacidad de funcionar eficientemente a largas y cortas distancias.\n[c][00FF00]+20% Daño vs Humanoides Blindados[-][/c]",,,,,,,,,,,,
Eden_Uzi,[c][FF00FF]RX-9 Syndicate Uzi[-][/c],,,,"[c][FF00FF]Uzi RX-9 Syndicate[-][/c]",,,,,,,,,,,,
Eden_Uziinfo,A compact SMG used for short range combat. Favored by criminals and smugglers for its easy concealment and light weight.\n[c][00FF00]+20% Damage vs Soft Wildlife[-][/c]\n[c][FF0000]-20% Damage vs Mechanical and Drones[-][/c],,,,"Una SMG compacta usada para combate a corta distancia. Favorita entre criminales y contrabandistas por su fácil ocultamiento y ligereza.\n[c][00FF00]+20% Daño vs Fauna Débil[-][/c]\n[c][FF0000]-20% Daño vs Mecánicos y Drones[-][/c]",,,,,,,,,,,,
AndroidSentinelRifle,Rifle Guardroid,,,,"Rifle Guardroide",,,,,,,,,,,,
AndroidSentinelLaser,Laser Guardroid,,,,"Láser Guardroide",,,,,,,,,,,,
AndroidSentinelRocket,Artillery Guardroid,,,,"Artillería Guardroide",,,,,,,,,,,,
AndroidSentinelShotgun,Riot Guardroid,,,,"Escopeta Guardroide",,,,,,,,,,,,
ArmorSpace,[c][70D2FF]Federation Spacesuit[-][/c],,,,"[c][70D2FF]Traje Espacial de la Federación[-][/c]",,,,,,,,,,,,
ArmorIndustrial,[c][FF6600]Polaris Envirosuit[-][/c],,,,"[c][FF6600]Traje Industrial Polaris[-][/c]",,,,,,,,,,,,
ArmorCombat,[c][DD0000]Titan Combat Armor[-][/c],,,,"[c][DD0000]Armadura de Combate Titan[-][/c]",,,,,,,,,,,,
itmSpacesuit,"A Trade Federation spacesuit that's been the standard for over a century.\nUnsurpassed protection against the vacuum of space, with large O2 tanks and a strong jetpack.\n[c][FF0000]Not rated for use in combat[-][/c]",,,,"Un traje espacial de la Federación Comercial que ha sido estándar durante más de un siglo.\nProtección insuperable contra el vacío del espacio, con grandes tanques de O2 y un potente propulsor.\n[c][FF0000]No recomendado para uso en combate[-][/c]",,,,,,,,,,,,
itmHeatsuit,A Polaris Industrial Suit used for working in hostile environments where protection from high temperatures and radiation is paramount and where heavy objects need moving.\n[c][FF0000]Not recommended for combat or cold conditions[-][/c],,,,"Traje Industrial Polaris usado para trabajar en entornos hostiles donde la protección contra altas temperaturas y radiación es primordial, y donde se necesita mover objetos pesados.\n[c][FF0000]No recomendado para combate o condiciones de frío[-][/c]",,,,,,,,,,,,
itmCombatsuit,"The Titan Suit foregoes and life support function to provide the absolute maximum in off-the-shelf protection, with everything else going into keeping you upright and moving with all that added armor.\n[c][FF0000]Minor Life Support Functions\nNo Jetpack[-][/c]",,,,"El Traje Titan renuncia a la función de soporte vital para proporcionar la máxima protección disponible, destinando todo lo demás a mantenerte de pie y en movimiento con toda esa armadura añadida.\n[c][FF0000]Funciones mínimas de soporte vital\nSin propulsor[-][/c]",,,,,,,,,,,,
WeaponSVChaff,Flare Launcher (SV),,,,"Lanzador de Señuelos (NP)",,,,,,,,,,,,
bkiWeaponSVChaffT1,Anti-Missile Countermeasure that will deploy flares behind a ship that will block projectiles flying through them and interfere with turret tracking for a few seconds.\n[c][FF0000]Long Reload Time[-][/c],,,,"Contramedida anti-misil que despliega bengalas detrás de una nave, bloqueando proyectiles que pasen por ellas e interfiriendo con el seguimiento de torretas por unos segundos.\n[c][FF0000]Tiempo de recarga largo[-][/c]",,,,,,,,,,,,
ChaffSVWeapon,Countermeasures,,,,"Contramedidas",,,,,,,,,,,,
ChaffCartridgeSV,Flare Cartridge,,,,"Cartucho de Bengalas",,,,,,,,,,,,
itmSVChaffCartridge,Anti-Missile Countermeasure that's deployed behind a ship that will block projectiles flying through them and interfere with turret tracking for a few seconds.,,,,"Contramedida anti-misil desplegada detrás de una nave, bloqueando proyectiles y alterando el seguimiento de torretas por unos segundos.",,,,,,,,,,,,
Eden_PosterCorp6x2,Holographic Advertisement (6x2),,,,"Publicidad Holográfica (6x2)",,,,,,,,,,,,
Eden_PosterCorp9x3,Holographic Advertisement (9x3),,,,"Publicidad Holográfica (9x3)",,,,,,,,,,,,
Eden_ConsoleNews1x2,Inset News Console (2x1),,,,"Consola de Noticias Insertada (2x1)",,,,,,,,,,,,
ProtoInfectorBoss,[c][00FFAA]Protoinfector[-][/c],,,,"[c][00FFAA]Protoinfector[-][/c]",,,,,,,,,,,,
ProtoInfectorWeaponLaser,[c][00FFAA]Vector Cannon[-][/c],,,,"[c][00FFAA]Cañón Vector[-][/c]",,,,,,,,,,,,
SwitchLegacy,[c][00FFAA]Legacy Controller[-][/c],,,,"[c][00FFAA]Controlador Legacy[-][/c]",,,,,,,,,,,,
bkiLegacyBossInfo,"[c][00FFAA]Legacy Boss[-][/c]\nDevices, Weapons and Cores can be placed inside its body, where they will be invincible until the block is destroyed by weapon fire.\nInvincible shield when turned off\nAlternating shield over exposed core when turned on",,,,"[c][00FFAA]Jefe Legacy[-][/c]\nDispositivos, armas y núcleos pueden colocarse dentro de su cuerpo, donde serán invencibles hasta que el bloque sea destruido por disparos.\nEscudo invencible cuando está apagado\nEscudo alternante sobre el núcleo expuesto cuando está encendido",,,,,,,,,,,,
bkiSwitchConsole,Console interface that can be used as a switch to send signals when interacted with.,,,,"Interfaz de consola que puede usarse como interruptor para enviar señales al interactuar con ella.",,,,,,,,,,,,
bkiDrillTurret,"Multi-functional remote turret capable of mining, repair and salvage into a Harvest Controller.\nMust be controlled manually via the Device Menu\n[c][00FFFF]Can Mine, Repair and Salvage[-][/c]",,,,"Torreta remota multifuncional capaz de minar, reparar y recuperar recursos hacia un Controlador de Cosecha.\nDebe ser controlada manualmente desde el Menú de Dispositivos\n[c][00FFFF]Puede Minar, Reparar y Recuperar[-][/c]",,,,,,,,,,,,
LegacyPOIBlocks,[c][00FFAA]Legacy Blocks[-][/c],,,,"[c][00FFAA]Bloques Legacy[-][/c]",,,,,,,,,,,,
bkiLegacyBlocks,"Minor artifacts of the Legacy. The technology within has been rendered inert without access to the gestalt, but there's no guarantee that it's safe to use.\n[c][FFFFFF]Decorative[-][/c]",,,,"Artefactos menores del Legacy. La tecnología interna ha quedado inactiva sin acceso al gestalt, pero no hay garantía de que sea seguro de usar.\n[c][FFFFFF]Decorativo[-][/c]",,,,,,,,,,,,
LegacyTurretShell,[c][00FFAA]Legacy Bioshell[-][/c],,,,"[c][00FFAA]Cáscara Bioshell Legacy[-][/c]",,,,,,,,,,,,
bkiLegacyShell,Adjustable shell cover for Legacy Ships and POIs. Is placed in OFF mode. Up to 5 turrets can be placed inside the block to make them easier to see and hit as a group target.\nBioshell will always be destroyed first when shot at and will explode destroying everything contained within it.\nTurning the Bioshell on in the control panel will give it an alternating shield like the ProtoInfector boss.,,,,"Cubierta ajustable para naves y POIs Legacy. Se coloca en modo APAGADO. Hasta 5 torretas pueden colocarse dentro del bloque para que sean más fáciles de ver y golpear como un objetivo grupal.\nLa Bioshell siempre será destruida primero cuando se dispare y explotará destruyendo todo lo contenido.\nActivar la Bioshell desde el panel de control le dará un escudo alternante como el jefe ProtoInfector.",,,,,,,,,,,,
SpotlightT2,Industrial Floodlight,,,,"Foco Industrial",,,,,,,,,,,,
bkiSuperSpotlight,"Polaris' signature high-strength, long-ranged spotlights capable of lighting up objects a long distance away on even the darkest of planets with the thickest of atmospheres.",,,,"Focos de alta resistencia y largo alcance de Polaris, capaces de iluminar objetos a gran distancia incluso en los planetas más oscuros con atmósferas densas.",,,,,,,,,,,,
UpgradeTerminal,Upgrade Terminal,,,,"Terminal de Actualización",,,,,,,,,,,,
bkiUpgradeTerminal,A dedicated terminal used for uploading software updates for weapons and turrets on a connected network.\n[c][00FF00]Uses Software Updates to improve weapons and systems for the ship you are currently piloting[-][/c],,,,"Terminal dedicado para subir actualizaciones de software para armas y torretas en una red conectada.\n[c][00FF00]Usa actualizaciones de software para mejorar armas y sistemas de la nave que estés pilotando[-][/c]",,,,,,,,,,,,
Eden_PosterGroup,Holographic Advertisements,,,,"Publicidad Holográfica",,,,,,,,,,,,
Eden_ShuttleDockOutgoing,Outgoing Shuttle (Type 1),,,,"Transbordador Saliente (Tipo 1)",,,,,,,,,,,,
Eden_ShuttleDockOutgoing2,Outgoing Shuttle (Type 2),,,,"Transbordador Saliente (Tipo 2)",,,,,,,,,,,,
Eden_ShuttleDockOutgoing3,Outgoing Shuttle (Type 3),,,,"Transbordador Saliente (Tipo 3)",,,,,,,,,,,,
Eden_ShuttleDockIncoming,Incoming Shuttle (Type 1),,,,"Transbordador Entrante (Tipo 1)",,,,,,,,,,,,
Eden_ShuttleDockIncoming2,Incoming Shuttle (Type 2),,,,"Transbordador Entrante (Tipo 2)",,,,,,,,,,,,
Eden_ShuttleDockIncoming3,Incoming Shuttle (Type 3),,,,"Transbordador Entrante (Tipo 3)",,,,,,,,,,,,
Eden_ShuttleDockPlanet,Shuttle Landing Pad,,,,"Plataforma de Aterrizaje de Transbordador",,,,,,,,,,,,
Eden_ShuttleDockOutgoinginfo,[c][00FF00]Decorative Object[-][/c]\n[c][FFFFFF]Creates a flow of space traffic to or from the target block.[-][/c],,,,"[c][00FF00]Objeto Decorativo[-][/c]\n[c][FFFFFF]Crea un flujo de tráfico espacial hacia o desde el bloque objetivo.[-][/c]",,,,,,,,,,,,
VehicleLoaderBase,Heavy Loader,,,,"Cargador Pesado",,,,,,,,,,,,
bkiVehicleBase,Decorative Device\nCan be turned off and on in the control panel to produce sound and animation.,,,,"Dispositivo decorativo\nPuede encenderse o apagarse desde el panel de control para producir sonido y animación.",,,,,,,,,,,,
MechatankBoss,[c][FF0000]T08A2 Mechanoid Tank[-][/c],,,,"[c][FF0000]Tanque Mechanoid T08A2[-][/c]",,,,,,,,,,,,
bkiTankBoss,"[c][FF0000]Boss Unit: POI ONLY[-][/c]\nObject is invincible while turned off and will produce sound and complex animation when turned on\nWeapons can be placed inside that can shoot out\nOnce turned on, it can be damaged by shooting the center plates on the chassis.",,,,"[c][FF0000]Unidad Jefe: SOLO POI[-][/c]\nEl objeto es invencible mientras está apagado y producirá sonido y animación compleja cuando se encienda\nSe pueden colocar armas dentro que dispararán\nUna vez encendido, puede recibir daño al disparar las placas centrales del chasis.",,,,,,,,,,,,
RocketBossGun,[c][FF0000]Tank-mounted Rocket Launcher[-][/c],,,,"[c][FF0000]Lanzacohetes Montado en Tanque[-][/c]",,,,,,,,,,,,
LaserBossGun,[c][FF0000]Tank-mounted Laser Cannon[-][/c],,,,"[c][FF0000]Cañón Láser Montado en Tanque[-][/c]",,,,,,,,,,,,
bkiBossWeaponInfo,"For use INSIDE the corresponding boss block. Is indestructible to weapon damage, but will take damage when the boss block is destroyed (usually).",,,,"Para uso DENTRO del bloque jefe correspondiente. Es indestructible a daño de armas, pero recibirá daño cuando el bloque jefe sea destruido (generalmente).",,,,,,,,,,,,
LegacyDominatorRifle,[c][00FFAA]Dominator[-][/c],,,,"[c][00FFAA]Dominator[-][/c]",,,,,,,,,,,,
bkiLegacyDominator,Active Legacy technology that appears to have formed into something resembling a rifle.\n[c][00FFAA]Legacy Technology[-][/c]\n[c][FF0000]Effects Unknown[-][/c],,,,"Tecnología Legacy activa que parece haberse formado en algo semejante a un rifle.\n[c][00FFAA]Tecnología Legacy[-][/c]\n[c][FF0000]Efectos Desconocidos[-][/c]",,,,,,,,,,,,
PistolT2Dual,[c][FFD837]NKK-27 Dual Enforcers[-][/c],,,,"[c][FFD837]NKK-27 Dual Enforcers[-][/c]",,,,,,,,,,,,
itmPistolT2Dual,Calibrated NKK-27 Enforcers synchronized to work in tandem with a smartsuit's optical tracking and target aquisition to overcome the inherent lack of accuracy and control when wielding two pistols at once.\n[c][00FF00]+20% Damage vs Soft Wildlife[-][/c]\n[c][FF0000]-20% Damage vs Mechanical[-][/c],,,,"NKK-27 calibradas sincronizadas para trabajar en tándem con el seguimiento óptico de un smartsuit y adquisición de objetivo para superar la falta de precisión inherente al usar dos pistolas a la vez.\n[c][00FF00]+20% Daño vs Fauna Débil[-][/c]\n[c][FF0000]-20% Daño vs Mecánicos[-][/c]",,,,,,,,,,,,
BoltActionSniper,[c][FFD837]ARS-12 Bolt-Action Rifle[-][/c],,,,"[c][FFD837]Rifle de Cerrojo ARS-12[-][/c]",,,,,,,,,,,,
itmSniperBolt,A bolt-action rifle chambered in 7.62mm and equipped with MagRails for maximum projectile speeds without requiring a stronger cartridge.\nCommonly used to repel pirates on the frontier.\n[c][00FF00]+20% Damage vs Armored Humanoids[-][/c],,,,"Rifle de cerrojo calibre 7.62mm equipado con MagRails para máxima velocidad de proyectil sin requerir cartucho más potente.\nUsado comúnmente para repeler piratas en la frontera.\n[c][00FF00]+20% Daño vs Humanoides Blindados[-][/c]",,,,,,,,,,,,
RockBlocks,Rock Blocks,,,,"Bloques de Roca",,,,,,,,,,,,
bkiRockBlocks,"Large slabs of rock used as foundation, walls and terrain on bases. Each side is a different shape and texture.\n[c][FF0000]Cannot be crafted[-][/c]",,,,"Grandes losas de roca utilizadas como cimientos, muros y terreno en las bases. Cada lado tiene una forma y textura diferente.\n[c][FF0000]No se puede fabricar[-][/c]",,,,,,,,,,,,
ReforgedRockCube1,Rock Cube,,,,"Cubo de Roca",,,,,,,,,,,,
ReforgedRockCube2,Large Rock Cube,,,,"Cubo de Roca Grande",,,,,,,,,,,,
ReforgedRockSlab1,Rock Slab,,,,"Loseta de Roca",,,,,,,,,,,,
ReforgedRockSlope,Rock Slope (Shallow),,,,"Rampa de Roca (Poco Inclinada)",,,,,,,,,,,,
ReforgedRockSlope2,Rock Slope (Large),,,,"Rampa de Roca (Grande)",,,,,,,,,,,,
ReforgedRockWall,Rock Wall,,,,"Muro de Roca",,,,,,,,,,,,
ReforgedRockLarge,Huge Rock Cube,,,,"Cubo de Roca Enorme",,,,,,,,,,,,
ReforgedRockPillar,Rock Pillar,,,,"Pilar de Roca",,,,,,,,,,,,
ColonySecurity,Security Chief,,,,"Jefe de Seguridad",,,,,,,,,,,,
ColonyPowerplant,Powerplant Engineer,,,,"Ingeniero de Planta Eléctrica",,,,,,,,,,,,
ColonyDoctor,Doctor,,,,"Doctor",,,,,,,,,,,,
ColonySpaceport,Ground Crew,,,,"Tripulación Terrestre",,,,,,,,,,,,
ColonyGreenhouse,Greenhouse Colonist,,,,"Colono de Invernadero",,,,,,,,,,,,
ColonySalvager,Colonist Salvager,,,,"Colono Recuperador",,,,,,,,,,,,
CargoBoxLegacy,[c][00FFAA]Biopod[-][/c],,,,"[c][00FFAA]Biopod[-][/c]",,,,,,,,,,,,
CargoBoxLegacySmall,[c][00FFAA]Biopods[-][/c],,,,"[c][00FFAA]Biopods[-][/c]",,,,,,,,,,,,
bkiContainerLegacy,Organic containers grown by infected growths.\nIt appears to function as a repository of raw materials and resources used to fuel the growth of the corruption but is somehow larger on the inside than the outside.,,,,"Contenedores orgánicos cultivados por crecimientos infectados.\nParece funcionar como un depósito de materias primas y recursos usados para alimentar el crecimiento de la corrupción, pero de alguna manera es más grande por dentro que por fuera.",,,,,,,,,,,,
FoundationBlocks,[c][FFFFFF]Foundation[-][/c]\n[c][FF0000](Indestructible)[-][/c],,,,"[c][FFFFFF]Cimientos[-][/c]\n[c][FF0000](Indestructible)[-][/c]",,,,,,,,,,,,
bkiFoundation,Indestructible hull blocks that can only be damaged by device explosions or salvaged with a Multitool.\nImmune to all weapon damage.\n[c][FF0000]For POI use ONLY[-][/c],,,,"Bloques de casco indestructibles que solo pueden ser dañados por explosiones de dispositivos o recolectados con una Multiherramienta.\nInmunes a todo daño de armas.\n[c][FF0000]Solo para uso en POI[-][/c]",,,,,,,,,,,,
LegacySpawnPod,[c][00FFAA]Synthesis Pod[-][/c],,,,"[c][00FFAA]Cápsula de Síntesis[-][/c]",,,,,,,,,,,,
LegacyForcefield,[c][00FFAA]Legacy Forcefield[-][/c],,,,"[c][00FFAA]Campo de Fuerza Legacy[-][/c]",,,,,,,,,,,,
bkiLegacyField,"Produces an indestructible forcefield for use as walls, doors and platforms.\nForcefield size can be adjusted by damaging it with a Debug Multitool set to 100 microdamage\nObject collider is a small spot in the corner of the center-block.",,,,"Produce un campo de fuerza indestructible para usar como muros, puertas y plataformas.\nEl tamaño del campo de fuerza se puede ajustar dañándolo con una Multiherramienta de depuración configurada a 100 microdaños\nEl collider del objeto es un pequeño punto en la esquina del bloque central.",,,,,,,,,,,,
Eden_SpawnerOrganic,Nest,,,,"Nido",,,,,,,,,,,,
Eden_SpawnerOrganicinfo,A spawner for POIs.,,,,"Un generador para POIs.",,,,,,,,,,,,
Eden_SpawnerOrganicSmall,Egg Sac,,,,"Saco de Huevos",,,,,,,,,,,,
DroneBayLegacy,[c][00FFAA]Vector Matrix[-][/c],,,,"[c][00FFAA]Matriz Vectorial[-][/c]",,,,,,,,,,,,
LegacyDroneBaySpawner,[c][00FFAA]Distributor[-][/c],,,,"[c][00FFAA]Distribuidor[-][/c]",,,,,,,,,,,,
bkiDroneBayLegacy,Some form of organic factory that grows and stores Vector drones prior to launch from a distributor...\n[c][00FFAA]Legacy Drone Bay[-][/c],,,,"Alguna forma de fábrica orgánica que cultiva y almacena drones Vector antes de su lanzamiento desde un distribuidor...\n[c][00FFAA]Bahía de Drones Legacy[-][/c]",,,,,,,,,,,,
bkiLegacyDronePad,It appears to be some form of quantum teleporter connected to a Vector Matrix somewhere else.\n[c][00FFAA]Launches Vector Drones stored in a Vector Matrix[-][/c],,,,"Parece ser una especie de teletransportador cuántico conectado a una Matriz Vectorial en otro lugar.\n[c][00FFAA]Lanza drones Vector almacenados en una Matriz Vectorial[-][/c]",,,,,,,,,,,,
LegacyPistol,[c][00FFAA]Perforator[-][/c],,,,"[c][00FFAA]Perforador[-][/c]",,,,,,,,,,,,
itmLegacyPistol,Some form of amalgamation of organic and synthetic components to form something resembling a pistol.\n[c][00FFAA]Legacy Technology[-][/c]\n[c][FF0000]Effects Unknown[-][/c],,,,"Alguna forma de amalgama de componentes orgánicos y sintéticos para formar algo que se asemeja a una pistola.\n[c][00FFAA]Tecnología Legacy[-][/c]\n[c][FF0000]Efectos Desconocidos[-][/c]",,,,,,,,,,,,
bkiShieldGeneratorLegacy,Some interation of a shield generator made from active Legacy Technology.\nThe means by which it operates and produces a shield is unknown.\n[c][FF0000]Impossible to retrieve[-][/c],,,,"Alguna iteración de generador de escudo hecho con Tecnología Legacy activa.\nSe desconoce cómo opera y produce un escudo.\n[c][FF0000]Imposible de recuperar[-][/c]",,,,,,,,,,,,
bkiBlockXenosteelDestroyed,"Heavily damaged hybrid-material blocks, that once provided superior strength at a lower mass compared to conventional armor, but presently has a sizable hole in it.\n[c][00FF00]Press RMB to see all block shapes[-][/c]\n[b][c][66CCFF]Structural Integrity:[/b][-][/c] 14",,,,"Bloques de material híbrido muy dañados, que antes ofrecían gran resistencia con menor masa comparado con armaduras convencionales, pero actualmente tienen un agujero considerable.\n[c][00FF00]Presiona RMB para ver todas las formas de bloque[-][/c]\n[b][c][66CCFF]Integridad Estructural:[/b][-][/c] 14",,,,,,,,,,,,
XenoLargeDestroyedBlocks,Xenosteel Blocks (Damaged),,,,"Bloques de Xenosteel (Dañados)",,,,,,,,,,,,
Eden_EffectsBlock_LightningGreen1x5,Effect Projector (Lightning Large),,,,"Proyector de Efectos (Rayo Grande)",,,,,,,,,,,,
rdlEffectSelector,Effect Selector,,,,"Selector de Efectos",,,,,,,,,,,,
rdlEffectorTxt,Used to change states on Effect Projectors for different color variants,,,,"Usado para cambiar estados en Proyectores de Efectos para diferentes variantes de color",,,,,,,,,,,,
LegacySoldierLR,[c][00FFAA]Legionary[-][/c],,,,"[c][00FFAA]Legionario[-][/c]",,,,,,,,,,,,
LegacyGravityBoss,[c][00FFAA]Desecrator[-][/c],,,,"[c][00FFAA]Profanador[-][/c]",,,,,,,,,,,,
